ID_A;DV_A;MACROZONA;TAMANO;TRAMO;FE;P200;P201;P202;P203;P230;P231;P232;P233;P234;P235;P236;P237;P238;P239;P240;P241;P242;P243;P244;P245;P228;P229;P3000;P3002;P3004;P3006;P3330;P3336;P3338;P3331;P3337;P3339;P3231;P3232;P3233;P3234;P3235;P3237;P3238;P3240;P3248;P3250;P3265;P3241;P3242;P3243;P3244;P3046;P3047;P3048;P3049;P3050;P3051;P3253;P3254;P3255;P3256;P3257;P3266;P3267;P3268;P3271;P4000;P4002;P4003;P3055;P4118;P3344;P3269;P3270;P3057;P4119;P3345;P4139;P3084;P3085;P4140;P3086;P3087;P4141;P3088;P3089;P4142;P3090;P3091;P4143;P3294;P3295;P4144;P3092;P3093;P4122;P4145;P4120;P4121;P3342;P3343;P3102;P3104;P3106;P3108;P3110;P3112;P3114;P3116;P3132;P3118;P3120;P3122;P3124;P3126;P3128;P3130;P3134;P3103;P3105;P3107;P3109;P3111;P3113;P3115;P3117;P3133;P3119;P3121;P3123;P3125;P3127;P3129;P3131;P3135;P3146;P3147;P3148;P4005;P4006;P4004;P4124;P4127;P4125;P4146;P3136;P4147;P3139;P4148;P3142;P4149;P3145;P4150;P3281;P4151;P3154;P4152;P3157;P4153;P3332;P4154;P3333;P4155;P3334;P4156;P3335;P3162;P3164;P3166;P3168;P3170;P3172;P3174;P3176;P3178;P3180;P3182;P3184;P3186;P3188;P3190;P3192;P3282;P3283;P3284;P3320;P3321;P3323;P3324;P3326;P3327;P3329;P4008;P4010;P4011;P4012;P4013;P4014;P4015;P4016;P4017;P4018;P4019;P4020;P4021;P4022;P4023;P4024;P4025;P4026;P4027;P4028;P4029;P4030;P4031;P4032;P4033;P4034;P4035;P4036;P4037;P4038;P4180;P4181;P4182;P4183;P4184;P4185;P4186;P4187;P4188;P4189;P4190;P4039;P4040;P4041;P4042;P4043;P4044;P4046;P4045;P4047;P3196;P3197;P3285;P3198;P3199;P3200;P3286;P3201;P3202;P3287;P3288;P3289;P3290;P3291;P3293;P3296;P3297;P3298;P4157;P4059;P4163;P4169;P4158;P4062;P4164;P4170;P4159;P4065;P4165;P4171;P4160;P4068;P4166;P4172;P4161;P4071;P4167;P4173;P4162;P4074;P4168;P4174;P4113;P4175;P4176;P4177;P4178;P4179;P3220;P3222;P4116;P3230;P024;P041;P026;P027;P040;P028;P0281;P021
21433;9;1;3;2;45,76854285;92549;99286;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;0;0;1;0;0;0;0;1;0;0;0;4;4;4;4;4;4;4;4;4;4;4;2;4;4;0;0;;;1;0;120;0;1;0;;;1;0;300;0;;;0;;;0;;;0;;;0;;;;0;;;0;420;;;;;;;;;;;;;;;;;;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;50;0;1;0;0;2014;2018;100;0;;0;;0;;;;0;;0;;0;;0;;0;;0;;1;1;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2;3;1;1;1;1;2;1;1;3;3;2;1;3;2;3;2;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;0;0;;2011;0;100;0;0;9;;0
23611;6;1;3;2;45,91837073;470593;470718;0;0;0;7;8;1;0;0;0;16;0;3;2;1;0;0;0;6;0;0;0;1;0;1;0;35;65;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;3;3;2;1;2;2;1;4;3;3;4;4;4;4;0;0;;;0;;;;;0;;;1;800;700;0;;;1;200;100;0;;;0;;;1;100;100;;0;;;1100;900;13,64;86,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,27;22,22;0;0;0;1;;;;0;;1;1;0;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;4;2;1;2;4;1;3;3;2;1;2;4;4;4;4;4;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;0;0;1;2000;1;100;0;0;2;;0
25087;8;13;1;1;1;299503770;241198215;18916696;22153270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881;960;0;0;;;;;;;;;;;;;1;1;1;0;1;1;1;0;1;0;0;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;0,01;0,01;1;35000;65000;0;1;1;7000;13000;0;;;1;7000;13000;1;7000;13000;1;7000;13000;0;;;1;7000;13000;;0;;;70000;130000;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;0;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;0;0,5;0,5;0;1;1;0;2014;2018;100;1;1;1;1;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;MEXICO;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;1;;;;;;;1;0;0;0;0;0;0;;1;2;3;2;2;4;3;3;3;3;4;4;4;4;4;4;2;3;4;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;1;1;1;2006;1;100;0;0;4;;1
25433;4;13;1;1;1;766957923;1052836740;2849709;2863368;3;274;475;1205;0;0;0;1957;1;293;524;541;0;0;0;1359;10645;8713;0;0;;;;;;;;;;;;;1;1;1;0;1;1;1;0;1;0;0;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;0,01;0,01;1;75000;105000;0;1;1;15000;21000;0;;;1;15000;21000;1;15000;21000;1;15000;21000;0;;;1;15000;21000;;0;;;150000;210000;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;0;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;0;0,5;0,5;0;1;1;0;2014;2018;10000;1;1;1;1;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;MEXICO;;;170;1;33;1;75;1;278;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;1;;;;;;;1;0;0;0;0;0;0;;1;2;3;2;2;4;3;3;3;3;4;4;4;4;4;4;2;3;4;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;1;1;1;1996;1;100;0;0;4;;1
21390;7;13;1;2;1,08676246;3454964;4063667;0;0;0;2;11;33;0;0;8;54;0;3;5;21;0;0;5;34;0;0;0;1;1;0;1;0;99;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;2;2;1;1;1;1;1;1;1;1;1;1;2;2;0;0;;;0;;;;;0;;;0;;;0;;;0;;;1;171410;181139;0;;;0;;;;0;;;171410;181139;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;0;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;6,25;0;0;0;1;1;0;0;;;;1;1;0;;1;1;;;0;;0;;0;;0;;1;1;1;1;1;1;0;;;;;;;;;;;;;;;;;;;14;1;0;0;0;0;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;1;1;1;1;4;4;1;1;1;3;1;1;1;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;1;0;2;2011;1;100;0;0;4;;0
20630;5;13;3;2;1,528149854;615718;556362;0;0;0;0;5;8;3;7;0;23;0;1;4;12;8;3;0;28;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;;;1;1668;1463;1;0;0;;;1;46;5;0;;;0;;;0;;;0;;;0;;;;0;;;1714;1468;6;0;0;0;0;9;0;22;12;12;7;0;0;0;0;29;3;5;0;0;0;0;7;0;20;9;5;0;0;3;0;0;50;1;43;63;0;0;1;1;2015;2018;4500000;1;1;0;;1;2;;;1;3;1;2;1;3;1;3;1;2;1;3;1;3;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;6;ESTADOS UNIDOS;ISRAEL;;1;0;21;1;0;0;22;1;0;1;0;;1;0;0;;0;1;0;;1;0;0;;1;0;0;;1;0;0;;;1;0;0;;1;0;0;0;1;;;;;;;;;;;;;;;;2;1;3;4;4;3;3;3;2;4;4;3;4;2;4;1;3;4;0;;;;1;3;3;1;0;;;;0;;;;0;;;;0;;;;0;1;0;;;;1;1;0;2;2015;1;98;2;0;10;FUNDACION DE DERECHO PRIVADO SIN FINES DE LUCRO;0
22527;6;13;3;2;3,700553199;204996;7000;0;0;0;2;2;0;0;0;0;4;0;2;2;0;0;0;0;4;10;0;0;1;1;0;60;0;40;;;;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;2;1;2;1;1;1;1;1;2;2;2;2;2;1;1;1;20;60;0;;;;;1;1500;8000;1;2000;4500;1;20000;20000;0;;;1;0;2500;1;5000;6500;0;;;;0;;;28500;41500;0;0;0;10;0;0;0;0;0;0;0;5;5;0;0;80;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;20;5;20;10;0;1;0;0;;;;1;2;0;;1;2;;;0;;0;;1;2;1;2;1;2;1;2;0;;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;3;FRANCIA;ALEMANIA;BELGICA;5;0;3;0;0;0;8;1;0;1;0;;1;0;0;;1;0;0;;1;0;0;;1;0;0;;1;0;0;;;1;0;0;;0;;;;;;;;;;;;;;;;;;;;1;3;1;2;2;2;2;1;3;3;3;2;1;2;2;1;3;3;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;1;1;1;2006;0;100;0;0;2;;0
25106;5;13;1;2;1,256097561;8678116;10658892;91644;0;0;20;6;13;3;0;0;42;0;9;5;15;2;0;0;31;10;8;1;1;1;0;65;0;35;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;2;1;2;2;2;2;1;1;2;1;1;2;2;1;0;;;1;0;15000;0;1;1;0;1000;1;10000;25000;1;0;35000;1;0;3500;1;65000;95000;1;45000;75000;1;0;500;;0;;;120000;250000;3;0;2;3;8;10;6;6;5;8;8;3;3;0;0;35;0;3;0;2;3;6;8;8;5;6;12;5;3;3;0;0;36;0;75;80;0;1;1;1;2014;2018;60000;1;2;1;3;1;3;;;1;1;0;;0;;1;3;1;3;1;2;1;2;0;;;;;;;;;;;;;;;;;;;3;1;3;1;0;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;1;;;;;;;0;0;0;0;0;0;1;NO SABIA COMO POSTULAR;7;3;3;2;3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;4;0;;;;1;1;0;4;0;;;;0;;;;1;0;0;;;;1;1;1;3;1985;1;100;0;0;5;;1
22999;2;13;1;2;7,546341597;7753000;11355000;0;0;25;15;5;4;2;0;0;51;15;12;8;4;2;0;0;41;15;25;1;0;1;0;15;0;85;;;;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;2;1;2;3;1;1;2;2;3;1;1;1;3;1;1;15;20;1;30000;45000;1;0;1;5000;8000;1;25000;35000;1;300;500;1;200;300;1;18000;33000;1;5000;9000;1;2000;3000;;0;;;85500;133800;3;3;3;3;6;6;3;3;3;3;3;3;3;3;2;50;0;3;3;3;3;6;6;3;3;3;3;3;3;3;3;2;50;0;75;75;0;1;1;1;;;;1;1;1;3;1;1;;;1;1;0;;1;2;0;;0;;0;;1;1;0;;;;;;;;;;;;;;;;;;;1;1;4;1;3;1;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;1;1;2;4;4;2;3;2;3;1;2;2;1;2;0;1;0;;;;0;;;;0;;;;0;;;;0;;;;1;0;0;;;;1;1;1;1;2007;1;100;0;0;4;;0
20796;7;1;3;2;7,492798852;107660;34426;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;1;3;1;0;0;;;;;;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;2;3;2;1;2;4;2;2;2;1;3;2;2;4;0;0;;;0;;;;;0;;;1;8000;1150;0;;;0;;;0;;;0;;;0;;;;0;;;8000;1150;15;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;1;0;2014;2018;35000;1;2;0;;1;1;;;0;;0;;0;;1;3;0;;0;;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;3;PERU;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;3;2;2;1;2;2;3;1;2;2;1;2;2;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;1;1;0;1;2008;1;100;0;0;2;;0
